,rawContent,status,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_tokens_stemmed
0,kenapa setiap saya main selalu di ksih tim yang bot tidak ada kerja sama semesekali dan tim saya sering main keluar tanpa alasan dan untuk jaringan mohon di perbaiki jaringan saya cukup kencang ketika saya sedang menyerang dengan jarak jauh dan ketika saya menyerang musuh dengan dekat sering sekali jaringan ngeleg padahal jaringan di sini ckup bgus untuk grafik sudah cukup bagus dan itu saja kekurangan dari game ini saran saya tolong untuk di ksih tim yang sempurna rank sring trun,1,"['kenapa', 'setiap', 'saya', 'main', 'selalu', 'di', 'ksih', 'tim', 'yang', 'bot', 'tidak', 'ada', 'kerja', 'sama', 'semesekali', 'dan', 'tim', 'saya', 'sering', 'main', 'keluar', 'tanpa', 'alasan', 'dan', 'untuk', 'jaringan', 'mohon', 'di', 'perbaiki', 'jaringan', 'saya', 'cukup', 'kencang', 'ketika', 'saya', 'sedang', 'menyerang', 'dengan', 'jarak', 'jauh', 'dan', 'ketika', 'saya', 'menyerang', 'musuh', 'dengan', 'dekat', 'sering', 'sekali', 'jaringan', 'ngeleg', 'padahal', 'jaringan', 'di', 'sini', 'ckup', 'bgus', 'untuk', 'grafik', 'sudah', 'cukup', 'bagus', 'dan', 'itu', 'saja', 'kekurangan', 'dari', 'game', 'ini', 'saran', 'saya', 'tolong', 'untuk', 'di', 'ksih', 'tim', 'yang', 'sempurna', 'rank', 'sring', 'trun']",<FreqDist with 55 samples and 81 outcomes>,"['main', 'ksih', 'tim', 'bot', 'kerja', 'semesekali', 'tim', 'main', 'alasan', 'jaringan', 'mohon', 'perbaiki', 'jaringan', 'kencang', 'menyerang', 'jarak', 'menyerang', 'musuh', 'jaringan', 'ngeleg', 'jaringan', 'ckup', 'bgus', 'grafik', 'bagus', 'kekurangan', 'game', 'saran', 'tolong', 'ksih', 'tim', 'sempurna', 'rank', 'sring', 'trun']","['main', 'ksih', 'tim', 'bot', 'kerja', 'semesekali', 'tim', 'main', 'alas', 'jaring', 'mohon', 'baik', 'jaring', 'kencang', 'serang', 'jarak', 'serang', 'musuh', 'jaring', 'ngeleg', 'jaring', 'ckup', 'bgus', 'grafik', 'bagus', 'kurang', 'game', 'saran', 'tolong', 'ksih', 'tim', 'sempurna', 'rank', 'sring', 'trun']"
1,untuk kesekian kali nya tetap masalah nya selalu ngelaaaaag saya pribadi sudah menggunakan perangkat yang mumpuni sinyal amat sangat bagus akan tetapi masih saja ngelag saya sudah nyoba bermacam cara jangan cuma mikirin masalah skin baru atau upgrade even saja fikirin juga persoalan ngelag,1,"['untuk', 'kesekian', 'kali', 'nya', 'tetap', 'masalah', 'nya', 'selalu', 'ngelaaaaag', 'saya', 'pribadi', 'sudah', 'menggunakan', 'perangkat', 'yang', 'mumpuni', 'sinyal', 'amat', 'sangat', 'bagus', 'akan', 'tetapi', 'masih', 'saja', 'ngelag', 'saya', 'sudah', 'nyoba', 'bermacam', 'cara', 'jangan', 'cuma', 'mikirin', 'masalah', 'skin', 'baru', 'atau', 'upgrade', 'even', 'saja', 'fikirin', 'juga', 'persoalan', 'ngelag']",<FreqDist with 38 samples and 44 outcomes>,"['kesekian', 'kali', 'ngelaaaaag', 'pribadi', 'perangkat', 'mumpuni', 'sinyal', 'bagus', 'ngelag', 'nyoba', 'mikirin', 'skin', 'upgrade', 'even', 'fikirin', 'ngelag']","['sekian', 'kali', 'ngelaaaaag', 'pribadi', 'perangkat', 'mumpuni', 'sinyal', 'bagus', 'ngelag', 'nyoba', 'mikirin', 'skin', 'upgrade', 'even', 'fikirin', 'ngelag']"
2,banyak sekali pemain yg saling ejek dalam sesama team match mereka tidak mengerti permasalahan pada pemain satu tim kebanyakan yg jaringan lagketika kita mau melakukan ultimate skill tiba skill gak keluar dan akhirnya kita mati seperti nya sdah sangat di atur sekali oleh sistemhp apapun berapa pun ram dan rom nyadan melalui jaringan apapunwifi atau seluler tetap lag sekali menangkalah nya bisa sampai turun rank mohon perbaikan seperti dulu agar kita semua nyaman bermain bersama,1,"['banyak', 'sekali', 'pemain', 'yg', 'saling', 'ejek', 'dalam', 'sesama', 'team', 'match', 'mereka', 'tidak', 'mengerti', 'permasalahan', 'pada', 'pemain', 'satu', 'tim', 'kebanyakan', 'yg', 'jaringan', 'lagketika', 'kita', 'mau', 'melakukan', 'ultimate', 'skill', 'tiba', 'skill', 'gak', 'keluar', 'dan', 'akhirnya', 'kita', 'mati', 'seperti', 'nya', 'sdah', 'sangat', 'di', 'atur', 'sekali', 'oleh', 'sistemhp', 'apapun', 'berapa', 'pun', 'ram', 'dan', 'rom', 'nyadan', 'melalui', 'jaringan', 'apapunwifi', 'atau', 'seluler', 'tetap', 'lag', 'sekali', 'menangkalah', 'nya', 'bisa', 'sampai', 'turun', 'rank', 'mohon', 'perbaikan', 'seperti', 'dulu', 'agar', 'kita', 'semua', 'nyaman', 'bermain', 'bersama']",<FreqDist with 64 samples and 75 outcomes>,"['pemain', 'ejek', 'team', 'match', 'mengerti', 'permasalahan', 'pemain', 'tim', 'kebanyakan', 'jaringan', 'lagketika', 'ultimate', 'skill', 'skill', 'mati', 'sdah', 'atur', 'sistemhp', 'apapun', 'ram', 'rom', 'nyadan', 'jaringan', 'apapunwifi', 'seluler', 'lag', 'menangkalah', 'turun', 'rank', 'mohon', 'perbaikan', 'nyaman', 'bermain']","['main', 'ejek', 'team', 'match', 'erti', 'masalah', 'main', 'tim', 'banyak', 'jaring', 'lagketika', 'ultimate', 'skill', 'skill', 'mati', 'sdah', 'atur', 'sistemhp', 'apa', 'ram', 'rom', 'nyadan', 'jaring', 'apapunwifi', 'seluler', 'lag', 'nangka', 'turun', 'rank', 'mohon', 'baik', 'nyaman', 'main']"
3,saya player mlbb memohon kepada sistem  agar dapat di perbaiki terutama sekali di bidang jaringan karna saya sering mendapat kan kulalitas jaringan kurang bagu ngelek dan di bidang peyimpanan terlalu tingi dan mohon di perbaiki sekian terima kasih,1,"['saya', 'player', 'mlbb', 'memohon', 'kepada', 'sistem', 'agar', 'dapat', 'di', 'perbaiki', 'terutama', 'sekali', 'di', 'bidang', 'jaringan', 'karna', 'saya', 'sering', 'mendapat', 'kan', 'kulalitas', 'jaringan', 'kurang', 'bagu', 'ngelek', 'dan', 'di', 'bidang', 'peyimpanan', 'terlalu', 'tingi', 'dan', 'mohon', 'di', 'perbaiki', 'sekian', 'terima', 'kasih']",<FreqDist with 30 samples and 38 outcomes>,"['player', 'mlbb', 'memohon', 'sistem', 'perbaiki', 'bidang', 'jaringan', 'karna', 'kulalitas', 'jaringan', 'bagu', 'ngelek', 'bidang', 'peyimpanan', 'tingi', 'mohon', 'perbaiki', 'sekian', 'terima', 'kasih']","['player', 'mlbb', 'mohon', 'sistem', 'baik', 'bidang', 'jaring', 'karna', 'kulalitas', 'jaring', 'bagu', 'ngelek', 'bidang', 'peyimpanan', 'tingi', 'mohon', 'baik', 'sekian', 'terima', 'kasih']"
4,tolong diperbaiki setiap masuk mode classic atau ranking gak bisa dibatalin walaupun belum sampai detik kalau dibatalin termasuk afk kan sial bener peraturannya mana setiap chat walaupun biasa di mute dianggap tidak sopan hadeeh,1,"['tolong', 'diperbaiki', 'setiap', 'masuk', 'mode', 'classic', 'atau', 'ranking', 'gak', 'bisa', 'dibatalin', 'walaupun', 'belum', 'sampai', 'detik', 'kalau', 'dibatalin', 'termasuk', 'afk', 'kan', 'sial', 'bener', 'peraturannya', 'mana', 'setiap', 'chat', 'walaupun', 'biasa', 'di', 'mute', 'dianggap', 'tidak', 'sopan', 'hadeeh']",<FreqDist with 31 samples and 34 outcomes>,"['tolong', 'diperbaiki', 'masuk', 'mode', 'classic', 'ranking', 'dibatalin', 'detik', 'dibatalin', 'afk', 'sial', 'bener', 'peraturannya', 'chat', 'mute', 'dianggap', 'sopan', 'hadeeh']","['tolong', 'baik', 'masuk', 'mode', 'classic', 'ranking', 'dibatalin', 'detik', 'dibatalin', 'afk', 'sial', 'bener', 'atur', 'chat', 'mute', 'anggap', 'sopan', 'hadeeh']"
5,kepada pihak developer mohon di perbaiki beberapa masalah berikut setelah update event  aplikasi memakan banyak ruang penyimpan semula gb sekarang menjadi gb gak ngotak banget highlight pertandingan yang tidak bisa disimpan di perangkat padahal sudah ada keterangan disimpan tapi video nya gak ada di perangkat jaringan suka nge lagframe drop pas warkeseimbangan match makingleaderboard gak sesuai dengan gelar kehormatanbanyak cheater,1,"['kepada', 'pihak', 'developer', 'mohon', 'di', 'perbaiki', 'beberapa', 'masalah', 'berikut', 'setelah', 'update', 'event', 'aplikasi', 'memakan', 'banyak', 'ruang', 'penyimpan', 'semula', 'gb', 'sekarang', 'menjadi', 'gb', 'gak', 'ngotak', 'banget', 'highlight', 'pertandingan', 'yang', 'tidak', 'bisa', 'disimpan', 'di', 'perangkat', 'padahal', 'sudah', 'ada', 'keterangan', 'disimpan', 'tapi', 'video', 'nya', 'gak', 'ada', 'di', 'perangkat', 'jaringan', 'suka', 'nge', 'lagframe', 'drop', 'pas', 'warkeseimbangan', 'match', 'makingleaderboard', 'gak', 'sesuai', 'dengan', 'gelar', 'kehormatanbanyak', 'cheater']",<FreqDist with 52 samples and 60 outcomes>,"['developer', 'mohon', 'perbaiki', 'update', 'event', 'aplikasi', 'memakan', 'ruang', 'penyimpan', 'gb', 'gb', 'ngotak', 'banget', 'highlight', 'pertandingan', 'disimpan', 'perangkat', 'keterangan', 'disimpan', 'video', 'perangkat', 'jaringan', 'suka', 'nge', 'lagframe', 'drop', 'pas', 'warkeseimbangan', 'match', 'makingleaderboard', 'sesuai', 'gelar', 'kehormatanbanyak', 'cheater']","['developer', 'mohon', 'baik', 'update', 'event', 'aplikasi', 'makan', 'ruang', 'simpan', 'gb', 'gb', 'ngotak', 'banget', 'highlight', 'tanding', 'simpan', 'perangkat', 'terang', 'simpan', 'video', 'perangkat', 'jaring', 'suka', 'nge', 'lagframe', 'drop', 'pas', 'warkeseimbangan', 'match', 'makingleaderboard', 'sesuai', 'gelar', 'kehormatanbanyak', 'cheater']"
6,dasar developer tidak becus masa semakin banyak update jaringannya semakin rusak dan lag tiba padahal jaringan data seluler bagus dan hijau tapi sehabis match terus coldown gk jelas bangetudah coldown lama lagi kalau begini bagaimana kami bisa bermain dengan lancar tanpa kendala apapuntapi ini malah banyak sekali bug dalam jaringannya mendingan hapus saja game ini dari play store tidak ada yang bisa memuaskan player terutama dalam satu timselalu diertemukan tim yang bodoh,1,"['dasar', 'developer', 'tidak', 'becus', 'masa', 'semakin', 'banyak', 'update', 'jaringannya', 'semakin', 'rusak', 'dan', 'lag', 'tiba', 'padahal', 'jaringan', 'data', 'seluler', 'bagus', 'dan', 'hijau', 'tapi', 'sehabis', 'match', 'terus', 'coldown', 'gk', 'jelas', 'bangetudah', 'coldown', 'lama', 'lagi', 'kalau', 'begini', 'bagaimana', 'kami', 'bisa', 'bermain', 'dengan', 'lancar', 'tanpa', 'kendala', 'apapuntapi', 'ini', 'malah', 'banyak', 'sekali', 'bug', 'dalam', 'jaringannya', 'mendingan', 'hapus', 'saja', 'game', 'ini', 'dari', 'play', 'store', 'tidak', 'ada', 'yang', 'bisa', 'memuaskan', 'player', 'terutama', 'dalam', 'satu', 'timselalu', 'diertemukan', 'tim', 'yang', 'bodoh']",<FreqDist with 62 samples and 72 outcomes>,"['dasar', 'developer', 'becus', 'update', 'jaringannya', 'rusak', 'lag', 'jaringan', 'data', 'seluler', 'bagus', 'hijau', 'sehabis', 'match', 'coldown', 'gk', 'bangetudah', 'coldown', 'bermain', 'lancar', 'kendala', 'apapuntapi', 'bug', 'jaringannya', 'mendingan', 'hapus', 'game', 'play', 'store', 'memuaskan', 'player', 'timselalu', 'diertemukan', 'tim', 'bodoh']","['dasar', 'developer', 'becus', 'update', 'jaring', 'rusak', 'lag', 'jaring', 'data', 'seluler', 'bagus', 'hijau', 'habis', 'match', 'coldown', 'gk', 'bangetudah', 'coldown', 'main', 'lancar', 'kendala', 'apapuntapi', 'bug', 'jaring', 'mending', 'hapus', 'game', 'play', 'store', 'muas', 'player', 'timselalu', 'diertemukan', 'tim', 'bodoh']"
7,kalo mau login selalu keluar login lagi keluar lagi kadang pula pas loading keluar terus sampe kesel di mohon untuk memperbaiki nya serta saat sedang bermain kadang sinyal jelek otomatis ngeleg dan itu dijadikan tindakan afk karena pengguna hanya membutuhkan kenyamanan dari aplikasi yg di instal oleh pengguna nya saya berharap hal ini tidak terjadi lagi pada pengguna lain terimakasih,1,"['kalo', 'mau', 'login', 'selalu', 'keluar', 'login', 'lagi', 'keluar', 'lagi', 'kadang', 'pula', 'pas', 'loading', 'keluar', 'terus', 'sampe', 'kesel', 'di', 'mohon', 'untuk', 'memperbaiki', 'nya', 'serta', 'saat', 'sedang', 'bermain', 'kadang', 'sinyal', 'jelek', 'otomatis', 'ngeleg', 'dan', 'itu', 'dijadikan', 'tindakan', 'afk', 'karena', 'pengguna', 'hanya', 'membutuhkan', 'kenyamanan', 'dari', 'aplikasi', 'yg', 'di', 'instal', 'oleh', 'pengguna', 'nya', 'saya', 'berharap', 'hal', 'ini', 'tidak', 'terjadi', 'lagi', 'pada', 'pengguna', 'lain', 'terimakasih']",<FreqDist with 50 samples and 60 outcomes>,"['login', 'login', 'kadang', 'pas', 'loading', 'sampe', 'kesel', 'mohon', 'memperbaiki', 'bermain', 'kadang', 'sinyal', 'jelek', 'otomatis', 'ngeleg', 'dijadikan', 'tindakan', 'afk', 'pengguna', 'membutuhkan', 'kenyamanan', 'aplikasi', 'instal', 'pengguna', 'berharap', 'pengguna', 'terimakasih']","['login', 'login', 'kadang', 'pas', 'loading', 'sampe', 'kesel', 'mohon', 'baik', 'main', 'kadang', 'sinyal', 'jelek', 'otomatis', 'ngeleg', 'jadi', 'tindak', 'afk', 'guna', 'butuh', 'nyaman', 'aplikasi', 'instal', 'guna', 'harap', 'guna', 'terimakasih']"
8,kecewa sama update yang sekarang kalo sinyalnya tibatiba merah terus pas sinyalnya ijo lagi malah ml nya errorlag masuk datanya lama malah dijalanin heronya sama system dan gak bisa digerakin sementara jadi males main ml dah penyebab losetreak juga matching sekarang gak seimbang antara tim dengan lawan banyak player pemula dicampurkan dengan pro player,1,"['kecewa', 'sama', 'update', 'yang', 'sekarang', 'kalo', 'sinyalnya', 'tibatiba', 'merah', 'terus', 'pas', 'sinyalnya', 'ijo', 'lagi', 'malah', 'ml', 'nya', 'errorlag', 'masuk', 'datanya', 'lama', 'malah', 'dijalanin', 'heronya', 'sama', 'system', 'dan', 'gak', 'bisa', 'digerakin', 'sementara', 'jadi', 'males', 'main', 'ml', 'dah', 'penyebab', 'losetreak', 'juga', 'matching', 'sekarang', 'gak', 'seimbang', 'antara', 'tim', 'dengan', 'lawan', 'banyak', 'player', 'pemula', 'dicampurkan', 'dengan', 'pro', 'player']",<FreqDist with 46 samples and 54 outcomes>,"['kecewa', 'update', 'sinyalnya', 'tibatiba', 'merah', 'pas', 'sinyalnya', 'ijo', 'ml', 'errorlag', 'masuk', 'datanya', 'dijalanin', 'heronya', 'system', 'digerakin', 'males', 'main', 'ml', 'dah', 'penyebab', 'losetreak', 'matching', 'seimbang', 'tim', 'lawan', 'player', 'pemula', 'dicampurkan', 'pro', 'player']","['kecewa', 'update', 'sinyal', 'tibatiba', 'merah', 'pas', 'sinyal', 'ijo', 'ml', 'errorlag', 'masuk', 'data', 'dijalanin', 'hero', 'system', 'digerakin', 'males', 'main', 'ml', 'dah', 'sebab', 'losetreak', 'matching', 'imbang', 'tim', 'lawan', 'player', 'mula', 'campur', 'pro', 'player']"
9,semakin banyak update semakin besar juga ram yang diperlukan hero makin banyak skin terlalu over jadi hp mulai tidak kuat banyak dari kalangan menengah ke bawah sudah pasti unistal ini game kalau terus makin menambah ram juga signal suka eror pas main kalau dipakai hal lain aman aja aneh banget,1,"['semakin', 'banyak', 'update', 'semakin', 'besar', 'juga', 'ram', 'yang', 'diperlukan', 'hero', 'makin', 'banyak', 'skin', 'terlalu', 'over', 'jadi', 'hp', 'mulai', 'tidak', 'kuat', 'banyak', 'dari', 'kalangan', 'menengah', 'ke', 'bawah', 'sudah', 'pasti', 'unistal', 'ini', 'game', 'kalau', 'terus', 'makin', 'menambah', 'ram', 'juga', 'signal', 'suka', 'eror', 'pas', 'main', 'kalau', 'dipakai', 'hal', 'lain', 'aman', 'aja', 'aneh', 'banget']",<FreqDist with 43 samples and 50 outcomes>,"['update', 'ram', 'hero', 'skin', 'over', 'hp', 'kuat', 'kalangan', 'menengah', 'unistal', 'game', 'menambah', 'ram', 'signal', 'suka', 'eror', 'pas', 'main', 'dipakai', 'aman', 'aneh', 'banget']","['update', 'ram', 'hero', 'skin', 'over', 'hp', 'kuat', 'kalang', 'tengah', 'unistal', 'game', 'tambah', 'ram', 'signal', 'suka', 'eror', 'pas', 'main', 'pakai', 'aman', 'aneh', 'banget']"
