0,afk,akun,aplikasi,bagus,baik,banget,bintang,bug,buruk,cuman,data,developer,download,event,game,game bagus,gamenya,ganti,gb,gitu,gk,grafik,gua,gw,habis,hero,hp,imbang,in,jaring,jaring bagus,jelek,kadang,kalah,kali,karna,kasih,kasih bintang,kredit,kurang,lag,lancar,langsung,lawan,legend,legends,loading,login,main,main game,masuk,match,merah,ml,mlbb,mobile,mobile legends,mode,mohon,mohon baik,moonton,musuh,ngelag,nyaman,orang,pakai,pake,parah,pas,ping,player,ram,rank,sampe,seru,simpan,sinyal,sinyal bagus,sistem,skin,solo,stabil,stuck,suka,susah,tanding,team,teman,terima,terima kasih,terimakasih,tim,tolong,tolong baik,turun,udah,udh,ulang,update,wifi,status,aktual,sentimen
0,0.0,0.0,0.0,0.1057684690006217,0.1059132602307211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2081847926351119,0.0,0.0,0.0,0.0,0.0,0.0,0.2071822560577069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9349513422839636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2233259543431004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3850799512209678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1564358339746243,0.2321182745885301,0.0,0.1359865683952708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1434195383345509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4183041168348587,0.1025436887167774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
1,0.0,0.0,0.0,0.287085844430259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4867064440454697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2123408950054022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5470310478204049,0.5765076811058089,0.0,0.4965625685436056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
2,0.0,0.0,0.0,0.0,0.1257719965239814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5551273594811034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2535379485586559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685923663112349,0.0,0.0,0.232318752288883,0.0,0.0,0.0,0.0,0.0,0.0,0.1857675528448663,0.2756404510738796,0.0,0.0,0.0,0.1885253531516749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2304529420920279,0.1703107017722792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2332729692970572,0.0,0.0,0.0,0.0,0.1655787129137982,0.0,0.0,0.1761974027135106,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
3,0.0,0.0,0.0,0.0,0.2874788491976718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6344312679784038,0.0,0.0,0.0,0.0,0.0,0.2665976791966368,0.1979254529713065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2466005344567889,0.0,0.0,0.0,0.4246115493596945,0.315017658370148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1991972118736998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1975065158675638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3049406156372976,0.2665976791966368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
4,0.5982111108520405,0.0,0.0,0.0,0.3353919907306171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5065367213654952,0.0,0.0,0.0,0.0,0.0,0.0,0.6592518433445209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3247216809364619,0.6624881909873712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
5,0.0,0.0,0.2329545951080136,0.0,0.111797330243539,0.1801842046964714,0.0,0.0,0.0,0.0,0.0,0.1862709937248896,0.0,0.2040360152250719,0.0,0.0,0.0,0.0,0.4580627938589213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2467232708804903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2065055575901182,0.0,0.0,0.0,0.0,0.0,0.0,0.1651267136398811,0.2450137342878929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2417448176199522,0.0,0.0,0.0,0.0,0.0,0.0,0.6909257771591651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2371760343845648,0.0,0.2186923813942461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2329545951080136,0.0,1.0,negatif,negatif
6,0.0,0.0,0.0,0.1182118182948125,0.0,0.0,0.0,0.1540286910561187,0.0,0.0,0.2411818993457784,0.1972281110028242,0.0,0.0,0.2326771211804191,0.0,0.0,0.0,0.0,0.0,0.201065788759789,0.0,0.0,0.0,0.2452403035508932,0.0,0.0,0.0,0.0,0.7837092133850871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2386239515846173,0.1806160512762985,0.0,0.0,0.0,0.0,0.0,0.0,0.2151917374470114,0.0,0.0,0.2186529433307134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1640447627195175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558387886247512,0.0,0.0,0.0,0.0,0.0,0.0,0.2466578065849556,0.0,1.0,negatif,negatif
7,0.2111333332418966,0.0,0.2466578065849556,0.0,0.1183736437872766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236172616502231,0.4391020598532842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2338193615249545,0.3995170908390239,0.2151917374470114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1748400497363448,0.2594263068930631,0.0,0.0,0.0,0.1774356264956941,0.0,0.0,0.0,0.0,0.2559651010093611,0.0,0.0,0.0,0.0,0.2213894148386483,0.0,0.0,0.2252480785142843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2195510299266421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,negatif,negatif
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2562557680548896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1839943842742903,0.0,0.2150529162496231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260567822522824,0.0,0.0,0.0,0.0,0.2286412210374496,0.0,0.1899512705120607,0.0,0.2756404510738796,0.4920578581370539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2719629198224462,0.0,0.3485951207789748,0.0,0.0,0.0,0.0,0.0,0.4786521668428543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1655787129137982,0.0,0.0,0.0,0.0,0.0,0.0,0.2620739194965154,0.0,1.0,negatif,negatif
9,0.0,0.0,0.0,0.0,0.0,0.2702763070447072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3296259216722604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2453258456990538,0.2642130275211715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3048549613832662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3048549613832662,0.0,0.0,0.3626172264299283,0.0,0.0,0.6145411789120745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2896614983171033,0.0,0.0,0.0,0.3557640515768472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3494318926620204,0.0,1.0,negatif,negatif
